,surprisals,prefix,continuation
0,4.917584,I know what my brother said that our aunt devoured the cake<extra_id_0> ,at
1,1.3373804,I know what my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,3.78482,I know what my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,3.307236,My neighbor told me what the fireman believes that the dog caught the cat<extra_id_0> ,in
4,0.47239476,My neighbor told me what the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,4.342094,My neighbor told me what the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,6.0633664,I know what our assistant believes that the committee delivered the report<extra_id_0> ,by
7,1.8182669,I know what our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,5.0436807,I know what our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,8.204916,You remember what I discovered that the water ruined the new carpet<extra_id_0> ,during
10,0.8406603,You remember what I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,3.2502506,You remember what I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,7.140239,She told me what the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,4.576764,She told me what the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,5.5915008,She knows what the expert can tell that the collector forged the painting<extra_id_0> ,with
15,1.5955958,She knows what the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,4.464469,She knows what the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,0.047766298,She knows what the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,7.897644,She knows what the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,1.8230413,She knows what the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,2.3036695,We all remember what the politician said that the convict smuggled a gun<extra_id_0> ,into
21,1.0315235,We all remember what the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,2.4568727,We all remember what the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,6.8034434,My friend reported what the banker predicts that the company will sell multiple assets<extra_id_0> ,next
24,4.999202,My friend reported what the banker predicts that the company will sell multiple assets next<extra_id_0> ,quarter
27,1.985417,She can guess what our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,for
28,1.3386562,She can guess what our friend predicts that the movie star will be awarded an oscar for<extra_id_0> ,her
29,5.2058406,She can guess what our friend predicts that the movie star will be awarded an oscar for her<extra_id_0> ,hard
30,0.1384897,She can guess what our friend predicts that the movie star will be awarded an oscar for her hard<extra_id_0> ,work
31,2.9229178,The newspaper reported who the police know that the suspect killed the witness<extra_id_0> ,in
32,1.1457436,The newspaper reported who the police know that the suspect killed the witness in<extra_id_0> ,the
33,7.072963,The newspaper reported who the police know that the suspect killed the witness in the<extra_id_0> ,middle
34,0.04135351,The newspaper reported who the police know that the suspect killed the witness in the middle<extra_id_0> ,of
35,0.6203308,The newspaper reported who the police know that the suspect killed the witness in the middle of<extra_id_0> ,the
36,1.1871122,The newspaper reported who the police know that the suspect killed the witness in the middle of the<extra_id_0> ,night
37,6.168223,We recall who the old lady heard that the hot tea warmed the young girl<extra_id_0> ,after
38,2.4011543,We recall who the old lady heard that the hot tea warmed the young girl after<extra_id_0> ,the
39,9.965442,We recall who the old lady heard that the hot tea warmed the young girl after the<extra_id_0> ,shocking
40,2.3280883,We recall who the old lady heard that the hot tea warmed the young girl after the shocking<extra_id_0> ,incident
41,2.2107174,I remember what the doctor decided that the nurse should administer the new medicine<extra_id_0> ,to
42,1.5559933,I remember what the doctor decided that the nurse should administer the new medicine to<extra_id_0> ,the
43,5.009507,I remember what the doctor decided that the nurse should administer the new medicine to the<extra_id_0> ,sick
44,2.7042496,I remember what the doctor decided that the nurse should administer the new medicine to the sick<extra_id_0> ,patient
45,3.9832258,Our friend guessed what my friend discovered that the gossip column revealed family secrets<extra_id_0> ,to
46,1.7920644,Our friend guessed what my friend discovered that the gossip column revealed family secrets to<extra_id_0> ,the
47,6.949465,Our friend guessed what my friend discovered that the gossip column revealed family secrets to the<extra_id_0> ,whole
48,5.7397943,Our friend guessed what my friend discovered that the gossip column revealed family secrets to the whole<extra_id_0> ,town
49,6.165318,The mayor told me what the town clerk heard that the town repaired the parking lot<extra_id_0> ,over
50,1.0369015,The mayor told me what the town clerk heard that the town repaired the parking lot over<extra_id_0> ,the
51,1.7721235,The mayor told me what the town clerk heard that the town repaired the parking lot over the<extra_id_0> ,summer
56,6.0198503,The newspaper said what the bureaucrat discovered that the manager followed company regulations<extra_id_0> ,during
57,0.7518469,The newspaper said what the bureaucrat discovered that the manager followed company regulations during<extra_id_0> ,the
58,6.0091157,The newspaper said what the bureaucrat discovered that the manager followed company regulations during the<extra_id_0> ,financial
59,1.1873956,The newspaper said what the bureaucrat discovered that the manager followed company regulations during the financial<extra_id_0> ,crisis
60,8.54074,Our neighbor said what the professor intuits that the student despised the assigned materials<extra_id_0> ,last
61,3.1301708,Our neighbor said what the professor intuits that the student despised the assigned materials last<extra_id_0> ,semester
62,5.8234124,My friend told me who the consultant assumes that the university hired a new administrator<extra_id_0> ,last
63,1.965692,My friend told me who the consultant assumes that the university hired a new administrator last<extra_id_0> ,week
64,6.263372,She can not believe who I forgot that my good friend married my cousin<extra_id_0> ,last
65,6.124598,She can not believe who I forgot that my good friend married my cousin last<extra_id_0> ,winter
66,3.8564074,Our neighbor reminded us what she remembers that the tow truck hauled the wagon<extra_id_0> ,out
67,0.8666066,Our neighbor reminded us what she remembers that the tow truck hauled the wagon out<extra_id_0> ,of
68,0.47387147,Our neighbor reminded us what she remembers that the tow truck hauled the wagon out of<extra_id_0> ,the
69,4.482546,Our neighbor reminded us what she remembers that the tow truck hauled the wagon out of the<extra_id_0> ,ditch
70,7.242735,The shop owner told me what the baker forgot that the restaurant prepared a new recipe<extra_id_0> ,earlier
71,3.1300106,The shop owner told me what the baker forgot that the restaurant prepared a new recipe earlier<extra_id_0> ,that
72,2.7352211,The shop owner told me what the baker forgot that the restaurant prepared a new recipe earlier that<extra_id_0> ,week
73,5.358841,My sister told me what our mother remembers that the newspaper published a scandalous story<extra_id_0> ,last
74,2.0349145,My sister told me what our mother remembers that the newspaper published a scandalous story last<extra_id_0> ,month
75,4.091816,We remember what the judge decided that the lawyer must shred the evidence<extra_id_0> ,before
76,2.3062456,We remember what the judge decided that the lawyer must shred the evidence before<extra_id_0> ,the
77,3.0690684,We remember what the judge decided that the lawyer must shred the evidence before the<extra_id_0> ,trial
78,5.2274632,I know what my brother said that our aunt devoured<extra_id_0> ,at
79,1.4423645,I know what my brother said that our aunt devoured at<extra_id_0> ,the
80,4.51357,I know what my brother said that our aunt devoured at the<extra_id_0> ,party
81,3.2509131,My neighbor told me what the fireman believes that the dog caught<extra_id_0> ,in
82,0.5737328,My neighbor told me what the fireman believes that the dog caught in<extra_id_0> ,the
83,5.3178782,My neighbor told me what the fireman believes that the dog caught in the<extra_id_0> ,garage
84,5.7635493,I know what our assistant believes that the committee delivered<extra_id_0> ,by
85,1.6870081,I know what our assistant believes that the committee delivered by<extra_id_0> ,the
86,8.059379,I know what our assistant believes that the committee delivered by the<extra_id_0> ,deadline
87,7.2297664,You remember what I discovered that the water ruined<extra_id_0> ,during
88,0.96582514,You remember what I discovered that the water ruined during<extra_id_0> ,the
89,2.962712,You remember what I discovered that the water ruined during the<extra_id_0> ,flood
90,6.7569284,She told me what the teacher suspects that the star student stole<extra_id_0> ,last
91,4.9031563,She told me what the teacher suspects that the star student stole last<extra_id_0> ,semester
92,6.0704746,She knows what the expert can tell that the collector forged<extra_id_0> ,with
93,1.7965732,She knows what the expert can tell that the collector forged with<extra_id_0> ,the
94,5.248659,She knows what the expert can tell that the collector forged with the<extra_id_0> ,help
95,0.07907989,She knows what the expert can tell that the collector forged with the help<extra_id_0> ,of
96,7.7560883,She knows what the expert can tell that the collector forged with the help of<extra_id_0> ,modern
97,1.8400345,She knows what the expert can tell that the collector forged with the help of modern<extra_id_0> ,technology
98,1.8694522,We all remember what the politician said that the convict smuggled<extra_id_0> ,into
99,1.1705254,We all remember what the politician said that the convict smuggled into<extra_id_0> ,the
100,2.8637338,We all remember what the politician said that the convict smuggled into the<extra_id_0> ,prison
101,4.662034,My friend reported what the banker predicts that the company will sell<extra_id_0> ,next
102,4.5932136,My friend reported what the banker predicts that the company will sell next<extra_id_0> ,quarter
105,3.1340694,She can guess what our friend predicts that the movie star will be awarded<extra_id_0> ,for
106,2.22009,She can guess what our friend predicts that the movie star will be awarded for<extra_id_0> ,her
107,5.803499,She can guess what our friend predicts that the movie star will be awarded for her<extra_id_0> ,hard
108,0.13233368,She can guess what our friend predicts that the movie star will be awarded for her hard<extra_id_0> ,work
109,2.8465014,The newspaper reported who the police know that the suspect killed<extra_id_0> ,in
110,1.2457293,The newspaper reported who the police know that the suspect killed in<extra_id_0> ,the
111,8.416958,The newspaper reported who the police know that the suspect killed in the<extra_id_0> ,middle
112,0.10747928,The newspaper reported who the police know that the suspect killed in the middle<extra_id_0> ,of
113,0.774735,The newspaper reported who the police know that the suspect killed in the middle of<extra_id_0> ,the
114,0.7190624,The newspaper reported who the police know that the suspect killed in the middle of the<extra_id_0> ,night
115,7.036741,We recall who the old lady heard that the hot tea warmed<extra_id_0> ,after
116,2.126668,We recall who the old lady heard that the hot tea warmed after<extra_id_0> ,the
117,11.202396,We recall who the old lady heard that the hot tea warmed after the<extra_id_0> ,shocking
118,3.3904505,We recall who the old lady heard that the hot tea warmed after the shocking<extra_id_0> ,incident
119,2.318759,I remember what the doctor decided that the nurse should administer<extra_id_0> ,to
120,1.7268357,I remember what the doctor decided that the nurse should administer to<extra_id_0> ,the
121,5.7151527,I remember what the doctor decided that the nurse should administer to the<extra_id_0> ,sick
122,2.928068,I remember what the doctor decided that the nurse should administer to the sick<extra_id_0> ,patient
123,4.064333,Our friend guessed what my friend discovered that the gossip column revealed<extra_id_0> ,to
124,2.0261402,Our friend guessed what my friend discovered that the gossip column revealed to<extra_id_0> ,the
125,6.73901,Our friend guessed what my friend discovered that the gossip column revealed to the<extra_id_0> ,whole
126,4.5982184,Our friend guessed what my friend discovered that the gossip column revealed to the whole<extra_id_0> ,town
127,6.820891,The mayor told me what the town clerk heard that the town repaired<extra_id_0> ,over
128,1.4916395,The mayor told me what the town clerk heard that the town repaired over<extra_id_0> ,the
129,2.7876709,The mayor told me what the town clerk heard that the town repaired over the<extra_id_0> ,summer
134,6.8404264,The newspaper said what the bureaucrat discovered that the manager followed<extra_id_0> ,during
135,0.7834537,The newspaper said what the bureaucrat discovered that the manager followed during<extra_id_0> ,the
136,7.3525505,The newspaper said what the bureaucrat discovered that the manager followed during the<extra_id_0> ,financial
137,0.4422151,The newspaper said what the bureaucrat discovered that the manager followed during the financial<extra_id_0> ,crisis
138,8.181007,Our neighbor said what the professor intuits that the student despised<extra_id_0> ,last
139,4.433695,Our neighbor said what the professor intuits that the student despised last<extra_id_0> ,semester
140,7.5050817,My friend told me who the consultant assumes that the university hired<extra_id_0> ,last
141,2.1906598,My friend told me who the consultant assumes that the university hired last<extra_id_0> ,week
142,6.887308,She can not believe who I forgot that my good friend married<extra_id_0> ,last
143,6.007291,She can not believe who I forgot that my good friend married last<extra_id_0> ,winter
144,3.122507,Our neighbor reminded us what she remembers that the tow truck hauled<extra_id_0> ,out
145,2.8141909,Our neighbor reminded us what she remembers that the tow truck hauled out<extra_id_0> ,of
146,0.9426769,Our neighbor reminded us what she remembers that the tow truck hauled out of<extra_id_0> ,the
147,5.605806,Our neighbor reminded us what she remembers that the tow truck hauled out of the<extra_id_0> ,ditch
148,7.2881255,The shop owner told me what the baker forgot that the restaurant prepared<extra_id_0> ,earlier
149,3.1774473,The shop owner told me what the baker forgot that the restaurant prepared earlier<extra_id_0> ,that
150,3.8492706,The shop owner told me what the baker forgot that the restaurant prepared earlier that<extra_id_0> ,week
151,5.2719436,My sister told me what our mother remembers that the newspaper published<extra_id_0> ,last
152,2.0707805,My sister told me what our mother remembers that the newspaper published last<extra_id_0> ,month
153,6.543285,We remember what the judge decided that the lawyer must shred<extra_id_0> ,before
154,2.5265925,We remember what the judge decided that the lawyer must shred before<extra_id_0> ,the
155,3.838148,We remember what the judge decided that the lawyer must shred before the<extra_id_0> ,trial
156,5.450919,I know what my brother said whether our aunt devoured the cake<extra_id_0> ,at
157,1.4072344,I know what my brother said whether our aunt devoured the cake at<extra_id_0> ,the
158,3.7044597,I know what my brother said whether our aunt devoured the cake at the<extra_id_0> ,party
159,3.6865263,My neighbor told me what the fireman believes whether the dog caught the cat<extra_id_0> ,in
160,0.33418238,My neighbor told me what the fireman believes whether the dog caught the cat in<extra_id_0> ,the
161,4.248407,My neighbor told me what the fireman believes whether the dog caught the cat in the<extra_id_0> ,garage
162,5.2127867,I know what our assistant believes whether the committee delivered the report<extra_id_0> ,by
163,1.6252992,I know what our assistant believes whether the committee delivered the report by<extra_id_0> ,the
164,4.8209133,I know what our assistant believes whether the committee delivered the report by the<extra_id_0> ,deadline
165,8.153146,You remember what I discovered whether the water ruined the new carpet<extra_id_0> ,during
166,0.7506483,You remember what I discovered whether the water ruined the new carpet during<extra_id_0> ,the
167,3.0988085,You remember what I discovered whether the water ruined the new carpet during the<extra_id_0> ,flood
168,7.3776546,She told me what the teacher suspects whether the star student stole answers to the test<extra_id_0> ,last
169,4.7287164,She told me what the teacher suspects whether the star student stole answers to the test last<extra_id_0> ,semester
170,6.1348248,She knows what the expert can tell whether the collector forged the painting<extra_id_0> ,with
171,1.5181311,She knows what the expert can tell whether the collector forged the painting with<extra_id_0> ,the
172,4.2906094,She knows what the expert can tell whether the collector forged the painting with the<extra_id_0> ,help
173,0.055117,She knows what the expert can tell whether the collector forged the painting with the help<extra_id_0> ,of
174,7.4725013,She knows what the expert can tell whether the collector forged the painting with the help of<extra_id_0> ,modern
175,1.9796572,She knows what the expert can tell whether the collector forged the painting with the help of modern<extra_id_0> ,technology
176,3.0196166,We all remember what the politician said whether the convict smuggled a gun<extra_id_0> ,into
177,0.92279494,We all remember what the politician said whether the convict smuggled a gun into<extra_id_0> ,the
178,2.5354526,We all remember what the politician said whether the convict smuggled a gun into the<extra_id_0> ,prison
179,6.883394,My friend reported what the banker predicts whether the company will sell multiple assets<extra_id_0> ,next
180,4.6344857,My friend reported what the banker predicts whether the company will sell multiple assets next<extra_id_0> ,quarter
183,2.3205967,She can guess what our friend predicts whether the movie star will be awarded an oscar<extra_id_0> ,for
184,1.6707096,She can guess what our friend predicts whether the movie star will be awarded an oscar for<extra_id_0> ,her
185,5.336674,She can guess what our friend predicts whether the movie star will be awarded an oscar for her<extra_id_0> ,hard
186,0.18814538,She can guess what our friend predicts whether the movie star will be awarded an oscar for her hard<extra_id_0> ,work
187,3.5819688,The newspaper reported who the police know whether the suspect killed the witness<extra_id_0> ,in
188,1.0905557,The newspaper reported who the police know whether the suspect killed the witness in<extra_id_0> ,the
189,7.904135,The newspaper reported who the police know whether the suspect killed the witness in the<extra_id_0> ,middle
190,0.06535119,The newspaper reported who the police know whether the suspect killed the witness in the middle<extra_id_0> ,of
191,0.51413006,The newspaper reported who the police know whether the suspect killed the witness in the middle of<extra_id_0> ,the
192,1.2415768,The newspaper reported who the police know whether the suspect killed the witness in the middle of the<extra_id_0> ,night
193,6.0153904,We recall who the old lady heard whether the hot tea warmed the young girl<extra_id_0> ,after
194,2.2171094,We recall who the old lady heard whether the hot tea warmed the young girl after<extra_id_0> ,the
195,9.670353,We recall who the old lady heard whether the hot tea warmed the young girl after the<extra_id_0> ,shocking
196,2.3935962,We recall who the old lady heard whether the hot tea warmed the young girl after the shocking<extra_id_0> ,incident
197,2.6808536,I remember what the doctor decided whether the nurse should administer the new medicine<extra_id_0> ,to
198,1.514299,I remember what the doctor decided whether the nurse should administer the new medicine to<extra_id_0> ,the
199,5.025572,I remember what the doctor decided whether the nurse should administer the new medicine to the<extra_id_0> ,sick
200,2.2659898,I remember what the doctor decided whether the nurse should administer the new medicine to the sick<extra_id_0> ,patient
201,3.996717,Our friend guessed what my friend discovered whether the gossip column revealed family secrets<extra_id_0> ,to
202,1.7470729,Our friend guessed what my friend discovered whether the gossip column revealed family secrets to<extra_id_0> ,the
203,7.214932,Our friend guessed what my friend discovered whether the gossip column revealed family secrets to the<extra_id_0> ,whole
204,5.6341987,Our friend guessed what my friend discovered whether the gossip column revealed family secrets to the whole<extra_id_0> ,town
205,6.283948,The mayor told me what the town clerk heard whether the town repaired the parking lot<extra_id_0> ,over
206,0.9973448,The mayor told me what the town clerk heard whether the town repaired the parking lot over<extra_id_0> ,the
207,1.9323092,The mayor told me what the town clerk heard whether the town repaired the parking lot over the<extra_id_0> ,summer
212,6.008634,The newspaper said what the bureaucrat discovered whether the manager followed company regulations<extra_id_0> ,during
213,0.6994012,The newspaper said what the bureaucrat discovered whether the manager followed company regulations during<extra_id_0> ,the
214,6.220657,The newspaper said what the bureaucrat discovered whether the manager followed company regulations during the<extra_id_0> ,financial
215,1.2025639,The newspaper said what the bureaucrat discovered whether the manager followed company regulations during the financial<extra_id_0> ,crisis
216,8.640551,Our neighbor said what the professor intuits whether the student despised the assigned materials<extra_id_0> ,last
217,3.1368675,Our neighbor said what the professor intuits whether the student despised the assigned materials last<extra_id_0> ,semester
218,6.635313,My friend told me who the consultant assumes whether the university hired a new administrator<extra_id_0> ,last
219,2.090659,My friend told me who the consultant assumes whether the university hired a new administrator last<extra_id_0> ,week
220,7.6155133,She can not believe who I forgot whether my good friend married my cousin<extra_id_0> ,last
221,6.1199903,She can not believe who I forgot whether my good friend married my cousin last<extra_id_0> ,winter
222,4.43136,Our neighbor reminded us what she remembers whether the tow truck hauled the wagon<extra_id_0> ,out
223,1.0615188,Our neighbor reminded us what she remembers whether the tow truck hauled the wagon out<extra_id_0> ,of
224,0.44163686,Our neighbor reminded us what she remembers whether the tow truck hauled the wagon out of<extra_id_0> ,the
225,4.229087,Our neighbor reminded us what she remembers whether the tow truck hauled the wagon out of the<extra_id_0> ,ditch
226,7.842289,The shop owner told me what the baker forgot whether the restaurant prepared a new recipe<extra_id_0> ,earlier
227,3.8842924,The shop owner told me what the baker forgot whether the restaurant prepared a new recipe earlier<extra_id_0> ,that
228,2.4609122,The shop owner told me what the baker forgot whether the restaurant prepared a new recipe earlier that<extra_id_0> ,week
229,5.990977,My sister told me what our mother remembers whether the newspaper published a scandalous story<extra_id_0> ,last
230,2.08653,My sister told me what our mother remembers whether the newspaper published a scandalous story last<extra_id_0> ,month
231,4.9512615,We remember what the judge decided whether the lawyer must shred the evidence<extra_id_0> ,before
232,2.1158004,We remember what the judge decided whether the lawyer must shred the evidence before<extra_id_0> ,the
233,2.7823682,We remember what the judge decided whether the lawyer must shred the evidence before the<extra_id_0> ,trial
234,7.175306,I know what my brother said whether our aunt devoured<extra_id_0> ,at
235,1.7606359,I know what my brother said whether our aunt devoured at<extra_id_0> ,the
236,5.5172367,I know what my brother said whether our aunt devoured at the<extra_id_0> ,party
237,4.1396165,My neighbor told me what the fireman believes whether the dog caught<extra_id_0> ,in
238,0.54659075,My neighbor told me what the fireman believes whether the dog caught in<extra_id_0> ,the
239,5.166448,My neighbor told me what the fireman believes whether the dog caught in the<extra_id_0> ,garage
240,6.045633,I know what our assistant believes whether the committee delivered<extra_id_0> ,by
241,1.836923,I know what our assistant believes whether the committee delivered by<extra_id_0> ,the
242,8.087106,I know what our assistant believes whether the committee delivered by the<extra_id_0> ,deadline
243,9.289422,You remember what I discovered whether the water ruined<extra_id_0> ,during
244,0.89825475,You remember what I discovered whether the water ruined during<extra_id_0> ,the
245,3.3996587,You remember what I discovered whether the water ruined during the<extra_id_0> ,flood
246,8.749777,She told me what the teacher suspects whether the star student stole<extra_id_0> ,last
247,4.810082,She told me what the teacher suspects whether the star student stole last<extra_id_0> ,semester
248,6.862626,She knows what the expert can tell whether the collector forged<extra_id_0> ,with
249,1.9361637,She knows what the expert can tell whether the collector forged with<extra_id_0> ,the
250,5.0148945,She knows what the expert can tell whether the collector forged with the<extra_id_0> ,help
251,0.11031029,She knows what the expert can tell whether the collector forged with the help<extra_id_0> ,of
252,7.1089087,She knows what the expert can tell whether the collector forged with the help of<extra_id_0> ,modern
253,1.9223152,She knows what the expert can tell whether the collector forged with the help of modern<extra_id_0> ,technology
254,4.3193793,We all remember what the politician said whether the convict smuggled<extra_id_0> ,into
255,1.1248013,We all remember what the politician said whether the convict smuggled into<extra_id_0> ,the
256,2.9628332,We all remember what the politician said whether the convict smuggled into the<extra_id_0> ,prison
257,7.241456,My friend reported what the banker predicts whether the company will sell<extra_id_0> ,next
258,4.6887255,My friend reported what the banker predicts whether the company will sell next<extra_id_0> ,quarter
261,4.5584526,She can guess what our friend predicts whether the movie star will be awarded<extra_id_0> ,for
262,2.7217505,She can guess what our friend predicts whether the movie star will be awarded for<extra_id_0> ,her
263,6.0966206,She can guess what our friend predicts whether the movie star will be awarded for her<extra_id_0> ,hard
264,0.16184826,She can guess what our friend predicts whether the movie star will be awarded for her hard<extra_id_0> ,work
265,4.836373,The newspaper reported who the police know whether the suspect killed<extra_id_0> ,in
266,1.4186395,The newspaper reported who the police know whether the suspect killed in<extra_id_0> ,the
267,8.480351,The newspaper reported who the police know whether the suspect killed in the<extra_id_0> ,middle
268,0.17457427,The newspaper reported who the police know whether the suspect killed in the middle<extra_id_0> ,of
269,0.69683576,The newspaper reported who the police know whether the suspect killed in the middle of<extra_id_0> ,the
270,0.7305185,The newspaper reported who the police know whether the suspect killed in the middle of the<extra_id_0> ,night
271,7.328907,We recall who the old lady heard whether the hot tea warmed<extra_id_0> ,after
272,2.1868374,We recall who the old lady heard whether the hot tea warmed after<extra_id_0> ,the
273,10.903804,We recall who the old lady heard whether the hot tea warmed after the<extra_id_0> ,shocking
274,3.2081618,We recall who the old lady heard whether the hot tea warmed after the shocking<extra_id_0> ,incident
275,4.525966,I remember what the doctor decided whether the nurse should administer<extra_id_0> ,to
276,1.9210528,I remember what the doctor decided whether the nurse should administer to<extra_id_0> ,the
277,6.0907693,I remember what the doctor decided whether the nurse should administer to the<extra_id_0> ,sick
278,2.713157,I remember what the doctor decided whether the nurse should administer to the sick<extra_id_0> ,patient
279,5.2486496,Our friend guessed what my friend discovered whether the gossip column revealed<extra_id_0> ,to
280,1.8906054,Our friend guessed what my friend discovered whether the gossip column revealed to<extra_id_0> ,the
281,7.0892973,Our friend guessed what my friend discovered whether the gossip column revealed to the<extra_id_0> ,whole
282,4.8699923,Our friend guessed what my friend discovered whether the gossip column revealed to the whole<extra_id_0> ,town
283,7.5727215,The mayor told me what the town clerk heard whether the town repaired<extra_id_0> ,over
284,1.6959013,The mayor told me what the town clerk heard whether the town repaired over<extra_id_0> ,the
285,4.0579143,The mayor told me what the town clerk heard whether the town repaired over the<extra_id_0> ,summer
290,8.227974,The newspaper said what the bureaucrat discovered whether the manager followed<extra_id_0> ,during
291,0.70552903,The newspaper said what the bureaucrat discovered whether the manager followed during<extra_id_0> ,the
292,7.511877,The newspaper said what the bureaucrat discovered whether the manager followed during the<extra_id_0> ,financial
293,0.7009402,The newspaper said what the bureaucrat discovered whether the manager followed during the financial<extra_id_0> ,crisis
294,9.402821,Our neighbor said what the professor intuits whether the student despised<extra_id_0> ,last
295,4.4829926,Our neighbor said what the professor intuits whether the student despised last<extra_id_0> ,semester
296,9.101291,My friend told me who the consultant assumes whether the university hired<extra_id_0> ,last
297,2.3079677,My friend told me who the consultant assumes whether the university hired last<extra_id_0> ,week
298,8.199933,She can not believe who I forgot whether my good friend married<extra_id_0> ,last
299,6.2221766,She can not believe who I forgot whether my good friend married last<extra_id_0> ,winter
300,4.220056,Our neighbor reminded us what she remembers whether the tow truck hauled<extra_id_0> ,out
301,4.558522,Our neighbor reminded us what she remembers whether the tow truck hauled out<extra_id_0> ,of
302,0.9328855,Our neighbor reminded us what she remembers whether the tow truck hauled out of<extra_id_0> ,the
303,5.759769,Our neighbor reminded us what she remembers whether the tow truck hauled out of the<extra_id_0> ,ditch
304,9.3180065,The shop owner told me what the baker forgot whether the restaurant prepared<extra_id_0> ,earlier
305,4.641571,The shop owner told me what the baker forgot whether the restaurant prepared earlier<extra_id_0> ,that
306,3.6693656,The shop owner told me what the baker forgot whether the restaurant prepared earlier that<extra_id_0> ,week
307,6.426636,My sister told me what our mother remembers whether the newspaper published<extra_id_0> ,last
308,2.0449405,My sister told me what our mother remembers whether the newspaper published last<extra_id_0> ,month
309,7.812525,We remember what the judge decided whether the lawyer must shred<extra_id_0> ,before
310,2.010846,We remember what the judge decided whether the lawyer must shred before<extra_id_0> ,the
311,3.8531342,We remember what the judge decided whether the lawyer must shred before the<extra_id_0> ,trial
