,obj_that,obj_wh,pp_wh,subj_wh,emb_that,emb_wh,emb_whether,adj_that,adj_wh,adj_subj_that,adj_subj_wh,np_that,np_wh,pairID
0,The senator does figure out that all girls skated around that glacier for Jodi.,The senator does figure out what all girls skated around for Jodi.,The senator does figure out what all girls skated around that glacier for.,The senator does figure out what skated around that glacier.,Carl will find out that Roger figures out that every government found a cafe.,Carl will find out what Roger figures out that every government found.,Carl will find out that Roger figures out whether every government found a cafe.,Most teenagers do know that contractors are skating around most high schools while exploring the closet.,Most teenagers do know what contractors are skating around while exploring the closet.,Most teenagers do know that contractors hunted while exploring the closet are skating around most high schools.,Most teenagers do know what contractors hunted while exploring the closet are skating around.,Patrick investigated that a woman who shouldn't walk through a movie theater conceals the book.,Patrick investigated what a woman who shouldn't walk through a movie theater conceals.,0
1,The student hasn't discovered that this car looks like some painting for Curtis.,The student hasn't discovered what this car looks like for Curtis.,The student hasn't discovered what this car looks like some painting for.,The student hasn't discovered what looks like some painting.,Kristen would find out that Kendra forgot that those women go to those hills.,Kristen would find out what Kendra forgot that those women go to.,Kristen would find out that Kendra forgot whether those women go to those hills.,Andrea forgot that every goose broke most skateboards before breaking this couch.,Andrea forgot what every goose broke before breaking this couch.,Andrea forgot that every goose washed before breaking this couch broke most skateboards.,Andrea forgot what every goose washed before breaking this couch broke.,Every man might discover that all hats what weren't confusing that organization hinder Theodore.,Every man might discover who all hats what weren't confusing that organization hinder.,1
2,William hasn't learned that all carts are hindering some guy for Carl.,William hasn't learned who all carts are hindering for Carl.,William hasn't learned who all carts are hindering some guy for.,William hasn't learned who are hindering some guy.,Some committees investigate that that waitress discovered that some guy confused Omar.,Some committees investigate who that waitress discovered that some guy confused.,Some committees investigate that that waitress discovered whether some guy confused Omar.,Steve discovered that women bit Grace before holding Stephen.,Steve discovered who women bit before holding Stephen.,Steve discovered that women coped before holding Stephen bit Grace.,Steve discovered who women coped before holding Stephen bit.,Nancy wasn't finding out that these mirrors what resemble most paintings hurt Janet.,Nancy wasn't finding out who these mirrors what resemble most paintings hurt.,2
3,Christina can learn that every tutor escaped from Maria with Travis.,Christina can learn who every tutor escaped from with Travis.,Christina can learn who every tutor escaped from Maria with.,Christina can learn who escaped from Maria.,Scott hadn't revealed that Teresa isn't figuring out that a committee approached Meredith.,Scott hadn't revealed who Teresa isn't figuring out that a committee approached.,Scott hadn't revealed that Teresa isn't figuring out whether a committee approached Meredith.,All doctors had realized that the actress descends every slope without choosing these newspaper articles.,All doctors had realized what the actress descends without choosing these newspaper articles.,All doctors had realized that the actress gone bad without choosing these newspaper articles descends every slope.,All doctors had realized what the actress gone bad without choosing these newspaper articles descends.,Every guest hadn't learned that many waiters who exited this library weren't aggravating most lawyers.,Every guest hadn't learned who many waiters who exited this library weren't aggravating.,3
4,Jessica wasn't learning that most podiatrists are eating this pepper with Laura.,Jessica wasn't learning what most podiatrists are eating with Laura.,Jessica wasn't learning what most podiatrists are eating this pepper with.,Jessica wasn't learning what are eating this pepper.,Matt wasn't revealing that Amanda concealed that many students argue about that guest.,Matt wasn't revealing who Amanda concealed that many students argue about.,Matt wasn't revealing that Amanda concealed whether many students argue about that guest.,All associates realize that the student hasn't eaten these peppers after lifting the restaurants.,All associates realize what the student hasn't eaten after lifting the restaurants.,All associates realize that the student wasted away after lifting the restaurants hasn't eaten these peppers.,All associates realize what the student wasted away after lifting the restaurants hasn't eaten.,Pamela investigates that many teachers who hadn't hidden this vase haven't annoyed Katherine.,Pamela investigates who many teachers who hadn't hidden this vase haven't annoyed.,4
5,Mary figures out that that partner doesn't tear the dress with Gerald.,Mary figures out what that partner doesn't tear with Gerald.,Mary figures out what that partner doesn't tear the dress with.,Mary figures out what doesn't tear the dress.,The students remember that all associations investigate that some teachers observe Joseph.,The students remember who all associations investigate that some teachers observe.,The students remember that all associations investigate whether some teachers observe Joseph.,Every electrician isn't discovering that this tooth isn't aiding Bill after disgusting these organizations.,Every electrician isn't discovering who this tooth isn't aiding after disgusting these organizations.,Every electrician isn't discovering that this tooth shut after disgusting these organizations isn't aiding Bill.,Every electrician isn't discovering who this tooth shut after disgusting these organizations isn't aiding.,Those guests remember that that vase what resembled many sketches helps all guys.,Those guests remember who that vase what resembled many sketches helps.,5
6,People would learn that this child isn't making a lot of carts with Karen.,People would learn what this child isn't making with Karen.,People would learn what this child isn't making a lot of carts with.,People would learn what isn't making a lot of carts.,Theresa might realize that some library is finding out that most offspring drives that skateboard.,Theresa might realize what some library is finding out that most offspring drives.,Theresa might realize that some library is finding out whether most offspring drives that skateboard.,Jesus knows that adults were wearing most blouses after keeping these slopes.,Jesus knows what adults were wearing after keeping these slopes.,Jesus knows that adults distracted after keeping these slopes were wearing most blouses.,Jesus knows what adults distracted after keeping these slopes were wearing.,Dennis couldn't forget that those dentists who drive to that movie theater bent some dish.,Dennis couldn't forget what those dentists who drive to that movie theater bent.,6
7,Every waiter realized that every electrician bred hamsters with Richard.,Every waiter realized what every electrician bred with Richard.,Every waiter realized what every electrician bred hamsters with.,Every waiter realized what bred hamsters.,Amy does remember that many guests find out that these children sound like Douglas.,Amy does remember who many guests find out that these children sound like.,Amy does remember that many guests find out whether these children sound like Douglas.,The waiters aren't realizing that some dentists healed Sabrina after worrying Jason.,The waiters aren't realizing who some dentists healed after worrying Jason.,The waiters aren't realizing that some dentists tempted after worrying Jason healed Sabrina.,The waiters aren't realizing who some dentists tempted after worrying Jason healed.,Teenagers figure out that these actresses who upset Laurie aid Robert.,Teenagers figure out who these actresses who upset Laurie aid.,7
8,That podiatrist couldn't find out that the ladies weren't meeting Lawrence with Carrie.,That podiatrist couldn't find out who the ladies weren't meeting with Carrie.,That podiatrist couldn't find out who the ladies weren't meeting Lawrence with.,That podiatrist couldn't find out who weren't meeting Lawrence.,April didn't find out that a lot of organizations revealed that many partners examines this report.,April didn't find out what a lot of organizations revealed that many partners examines.,April didn't find out that a lot of organizations revealed whether many partners examines this report.,The hospitals conceal that those hairdressers were purchasing all doors after selling most pants.,The hospitals conceal what those hairdressers were purchasing after selling most pants.,The hospitals conceal that those hairdressers worked with after selling most pants were purchasing all doors.,The hospitals conceal what those hairdressers worked with after selling most pants were purchasing.,These ladies know that a print what looks like that waitress bores Carmen.,These ladies know who a print what looks like that waitress bores.,8
9,Dan finds out that many guests wouldn't fight some legislatures with Stacey.,Dan finds out what many guests wouldn't fight with Stacey.,Dan finds out what many guests wouldn't fight some legislatures with.,Dan finds out what wouldn't fight some legislatures.,Some guests know that a government was figuring out that every boy help Larry.,Some guests know who a government was figuring out that every boy help.,Some guests know that a government was figuring out whether every boy help Larry.,Walter has forgotten that that dancer kissed all teenagers before discovering Stacy.,Walter has forgotten who that dancer kissed before discovering Stacy.,Walter has forgotten that that dancer cooperated before discovering Stacy kissed all teenagers.,Walter has forgotten who that dancer cooperated before discovering Stacy kissed.,Judy isn't revealing that the mouse what bored Linda had hurt the actress.,Judy isn't revealing who the mouse what bored Linda had hurt.,9
10,Diane realized that some lawyers weren't healing Marie with most French teachers.,Diane realized who some lawyers weren't healing with most French teachers.,Diane realized who some lawyers weren't healing Marie with.,Diane realized who weren't healing Marie.,Russell wouldn't learn that some tutor figured out that those legislatures weren't listening to Jodi.,Russell wouldn't learn who some tutor figured out that those legislatures weren't listening to.,Russell wouldn't learn that some tutor figured out whether those legislatures weren't listening to Jodi.,Rachel is revealing that many patients haven't bred the hamsters before exposing that library.,Rachel is revealing what many patients haven't bred before exposing that library.,Rachel is revealing that many patients pressured before exposing that library haven't bred the hamsters.,Rachel is revealing what many patients pressured before exposing that library haven't bred.,Connie hasn't discovered that the tutors who were discovering the Lutherans have descended a lot of stairs.,Connie hasn't discovered what the tutors who were discovering the Lutherans have descended.,10
11,A driver will investigate that a doctor hadn't left Brian for Kevin.,A driver will investigate who a doctor hadn't left for Kevin.,A driver will investigate who a doctor hadn't left Brian for.,A driver will investigate who hadn't left Brian.,Rodney hadn't discovered that this waiter concealed that every senator had hated a lot of dresses.,Rodney hadn't discovered what this waiter concealed that every senator had hated.,Rodney hadn't discovered that this waiter concealed whether every senator had hated a lot of dresses.,Carlos does remember that those pedestrians escape from people without disturbing these associations.,Carlos does remember who those pedestrians escape from without disturbing these associations.,Carlos does remember that those pedestrians communicated without disturbing these associations escape from people.,Carlos does remember who those pedestrians communicated without disturbing these associations escape from.,Kenneth concealed that a lot of waiters who did fix some cars aren't distracting most waitresses.,Kenneth concealed who a lot of waiters who did fix some cars aren't distracting.,11
12,Florence reveals that that bird has broken all windows with William.,Florence reveals what that bird has broken with William.,Florence reveals what that bird has broken all windows with.,Florence reveals what has broken all windows.,John remembers that patients remember that the customers writes that commentary.,John remembers what patients remember that the customers writes.,John remembers that patients remember whether the customers writes that commentary.,Some women had forgotten that those companies had upset Keith while discussing some partner.,Some women had forgotten who those companies had upset while discussing some partner.,Some women had forgotten that those companies tipped over while discussing some partner had upset Keith.,Some women had forgotten who those companies tipped over while discussing some partner had upset.,Claire isn't realizing that some waitresses who respect Beth will escape from John.,Claire isn't realizing who some waitresses who respect Beth will escape from.,12
13,Catherine figures out that the students destroyed that carriage for the waitresses.,Catherine figures out what the students destroyed for the waitresses.,Catherine figures out what the students destroyed that carriage for.,Catherine figures out what destroyed that carriage.,Most companies conceal that Andrew realizes that every alumnus watch Natalie.,Most companies conceal who Andrew realizes that every alumnus watch.,Most companies conceal that Andrew realizes whether every alumnus watch Natalie.,Brett does forget that a senator hadn't revealed gates while losing those waiters.,Brett does forget what a senator hadn't revealed while losing those waiters.,Brett does forget that a senator tempted while losing those waiters hadn't revealed gates.,Brett does forget what a senator tempted while losing those waiters hadn't revealed.,Connie found out that the waitresses who talk to most actresses weren't complaining about all hairdressers.,Connie found out who the waitresses who talk to most actresses weren't complaining about.,13
14,Some adult can't reveal that the steak embarrasses the hospital for Naomi.,Some adult can't reveal what the steak embarrasses for Naomi.,Some adult can't reveal what the steak embarrasses the hospital for.,Some adult can't reveal what embarrasses the hospital.,Andrew isn't finding out that Cynthia has found out that that government had complained about the people.,Andrew isn't finding out who Cynthia has found out that that government had complained about.,Andrew isn't finding out that Cynthia has found out whether that government had complained about the people.,Every teacher didn't reveal that a tutor wasn't arriving at all hills after losing Martha.,Every teacher didn't reveal what a tutor wasn't arriving at after losing Martha.,Every teacher didn't reveal that a tutor maneuvered after losing Martha wasn't arriving at all hills.,Every teacher didn't reveal what a tutor maneuvered after losing Martha wasn't arriving at.,Rose has forgotten that those oncologists who are keeping that ship weren't insulting Samantha.,Rose has forgotten who those oncologists who are keeping that ship weren't insulting.,14
15,Deanna remembers that all French teachers could purchase the window for Samantha.,Deanna remembers what all French teachers could purchase for Samantha.,Deanna remembers what all French teachers could purchase the window for.,Deanna remembers what could purchase the window.,Most teachers aren't concealing that most museums shouldn't know that all legislatures haven't taken those apples.,Most teachers aren't concealing what most museums shouldn't know that all legislatures haven't taken.,Most teachers aren't concealing that most museums shouldn't know whether all legislatures haven't taken those apples.,A piano teacher wasn't revealing that this company fights the contractors while referencing Eric.,A piano teacher wasn't revealing who this company fights while referencing Eric.,A piano teacher wasn't revealing that this company awakened while referencing Eric fights the contractors.,A piano teacher wasn't revealing who this company awakened while referencing Eric fights.,Curtis learns that the teenagers who were hugging Maria would overwhelm Adam.,Curtis learns who the teenagers who were hugging Maria would overwhelm.,15
16,A lot of partners are learning that some girl appreciates Frank for the Clintons.,A lot of partners are learning who some girl appreciates for the Clintons.,A lot of partners are learning who some girl appreciates Frank for.,A lot of partners are learning who appreciates Frank.,Those tutors aren't remembering that many actresses couldn't reveal that the French teachers aren't drawing those scarves.,Those tutors aren't remembering what many actresses couldn't reveal that the French teachers aren't drawing.,Those tutors aren't remembering that many actresses couldn't reveal whether the French teachers aren't drawing those scarves.,Kendra realizes that the melody bored Suzanne while worrying Christina.,Kendra realizes who the melody bored while worrying Christina.,Kendra realizes that the melody brightened while worrying Christina bored Suzanne.,Kendra realizes who the melody brightened while worrying Christina bored.,French teachers investigate that the guests who weren't discussing all boys have talked to some oncologist.,French teachers investigate who the guests who weren't discussing all boys have talked to.,16
17,Kevin can't forget that a customer isn't healing most adults with Laura.,Kevin can't forget who a customer isn't healing with Laura.,Kevin can't forget who a customer isn't healing most adults with.,Kevin can't forget who isn't healing most adults.,Noah discovers that this hospital has forgotten that those oncologists appreciates Theresa.,Noah discovers who this hospital has forgotten that those oncologists appreciates.,Noah discovers that this hospital has forgotten whether those oncologists appreciates Theresa.,Those teachers aren't discovering that the actress was praising Michelle before healing Pamela.,Those teachers aren't discovering who the actress was praising before healing Pamela.,Those teachers aren't discovering that the actress surrendered before healing Pamela was praising Michelle.,Those teachers aren't discovering who the actress surrendered before healing Pamela was praising.,Mark learned that some actors who might repair a carriage reference Danielle.,Mark learned who some actors who might repair a carriage reference.,17
18,Debra knew that every boy listens to Andrew with some waiters.,Debra knew who every boy listens to with some waiters.,Debra knew who every boy listens to Andrew with.,Debra knew who listens to Andrew.,Jessica investigated that some person does figure out that that dentist forgave Vanessa.,Jessica investigated who some person does figure out that that dentist forgave.,Jessica investigated that some person does figure out whether that dentist forgave Vanessa.,Many ladies discovered that many boys weren't keeping the tile while exposing Denise.,Many ladies discovered what many boys weren't keeping while exposing Denise.,Many ladies discovered that many boys forfeited while exposing Denise weren't keeping the tile.,Many ladies discovered what many boys forfeited while exposing Denise weren't keeping.,The ladies reveal that a child who hid the mirrors hasn't bought this spotlight.,The ladies reveal what a child who hid the mirrors hasn't bought.,18
19,Some guests reveal that all dentists expose Kenneth with Bruce.,Some guests reveal who all dentists expose with Bruce.,Some guests reveal who all dentists expose Kenneth with.,Some guests reveal who expose Kenneth.,Carol was finding out that Anna is discovering that those contractors were cleaning those movie theaters.,Carol was finding out what Anna is discovering that those contractors were cleaning.,Carol was finding out that Anna is discovering whether those contractors were cleaning those movie theaters.,Mitchell can discover that that dancer won't know Sally after thinking about Richard.,Mitchell can discover who that dancer won't know after thinking about Richard.,Mitchell can discover that that dancer arisen after thinking about Richard won't know Sally.,Mitchell can discover who that dancer arisen after thinking about Richard won't know.,Some teachers find out that most drivers who reveal Katherine won't breed a lot of snakes.,Some teachers find out what most drivers who reveal Katherine won't breed.,19
20,These governments forget that a committee underwhelms Natalie with Jennifer.,These governments forget who a committee underwhelms with Jennifer.,These governments forget who a committee underwhelms Natalie with.,These governments forget who underwhelms Natalie.,Russell figures out that Sally knows that some woman hadn't understood Sarah.,Russell figures out who Sally knows that some woman hadn't understood.,Russell figures out that Sally knows whether some woman hadn't understood Sarah.,The partner remembers that these students know Lawrence while worrying Stephanie.,The partner remembers who these students know while worrying Stephanie.,The partner remembers that these students folded while worrying Stephanie know Lawrence.,The partner remembers who these students folded while worrying Stephanie know.,These banks learn that the lawyer who does destroy screens disagrees with Naomi.,These banks learn who the lawyer who does destroy screens disagrees with.,20
21,Gary can learn that that associate swept these tiles for Marie.,Gary can learn what that associate swept for Marie.,Gary can learn what that associate swept these tiles for.,Gary can learn what swept these tiles.,All boys revealed that Emily isn't realizing that a doctor taught Larry.,All boys revealed who Emily isn't realizing that a doctor taught.,All boys revealed that Emily isn't realizing whether a doctor taught Larry.,Stacy conceals that every partner drives to most closets after running around all hills.,Stacy conceals what every partner drives to after running around all hills.,Stacy conceals that every partner hurt after running around all hills drives to most closets.,Stacy conceals what every partner hurt after running around all hills drives to.,Patrick was finding out that this partner who wasn't building these restaurants exposed gates.,Patrick was finding out what this partner who wasn't building these restaurants exposed.,21
22,Laura remembers that all oncologists liked every screen for Mitchell.,Laura remembers what all oncologists liked for Mitchell.,Laura remembers what all oncologists liked every screen for.,Laura remembers what liked every screen.,Those waiters aren't investigating that Andrea doesn't know that a committee shouldn't bike to all malls.,Those waiters aren't investigating what Andrea doesn't know that a committee shouldn't bike to.,Those waiters aren't investigating that Andrea doesn't know whether a committee shouldn't bike to all malls.,The Impressionists forget that every offspring cleans most schools after insulting Caroline.,The Impressionists forget what every offspring cleans after insulting Caroline.,The Impressionists forget that every offspring investigated after insulting Caroline cleans most schools.,The Impressionists forget what every offspring investigated after insulting Caroline cleans.,Claire isn't learning that some hamsters what hadn't descended this ladder won't climb down ladders.,Claire isn't learning what some hamsters what hadn't descended this ladder won't climb down.,22
23,Diana has learned that a driver can shock Andrea with Amanda.,Diana has learned who a driver can shock with Amanda.,Diana has learned who a driver can shock Andrea with.,Diana has learned who can shock Andrea.,John figures out that every waiter can't find out that that waiter shouldn't drop by some high school.,John figures out what every waiter can't find out that that waiter shouldn't drop by.,John figures out that every waiter can't find out whether that waiter shouldn't drop by some high school.,Some boy did remember that a man doesn't fire an oncologist while distracting a lot of handymen.,Some boy did remember who a man doesn't fire while distracting a lot of handymen.,Some boy did remember that a man bothered while distracting a lot of handymen doesn't fire an oncologist.,Some boy did remember who a man bothered while distracting a lot of handymen doesn't fire.,Daniel reveals that that associate who wore many hats will criticize Dan.,Daniel reveals who that associate who wore many hats will criticize.,23
24,Catherine didn't forget that the contractors get all forks with Patricia.,Catherine didn't forget what the contractors get with Patricia.,Catherine didn't forget what the contractors get all forks with.,Catherine didn't forget what get all forks.,Benjamin is discovering that Karen knew that some banks grows every pepper.,Benjamin is discovering what Karen knew that some banks grows.,Benjamin is discovering that Karen knew whether some banks grows every pepper.,Some legislature had known that some guy had described Heather without admiring many lawyers.,Some legislature had known who some guy had described without admiring many lawyers.,Some legislature had known that some guy folded without admiring many lawyers had described Heather.,Some legislature had known who some guy folded without admiring many lawyers had described.,That organization wasn't discovering that those men who distracted some company forgot Anne.,That organization wasn't discovering who those men who distracted some company forgot.,24
25,Galileo is discovering that a lot of birds are scaring Karen for Holly.,Galileo is discovering who a lot of birds are scaring for Holly.,Galileo is discovering who a lot of birds are scaring Karen for.,Galileo is discovering who are scaring Karen.,All patients wouldn't learn that Nicole discovers that an offspring ascends many ladders.,All patients wouldn't learn what Nicole discovers that an offspring ascends.,All patients wouldn't learn that Nicole discovers whether an offspring ascends many ladders.,Most legislatures haven't learned that all children are thinking about a lot of committees while harming Keith.,Most legislatures haven't learned what all children are thinking about while harming Keith.,Most legislatures haven't learned that all children commanded while harming Keith are thinking about a lot of committees.,Most legislatures haven't learned what all children commanded while harming Keith are thinking about.,Organizations are figuring out that many patients who shake Kevin talk about Lori.,Organizations are figuring out who many patients who shake Kevin talk about.,25
26,Eric knew that some library hasn't bored Mary for most boys.,Eric knew who some library hasn't bored for most boys.,Eric knew who some library hasn't bored Mary for.,Eric knew who hasn't bored Mary.,Sandra realized that George hasn't remembered that some partner had climbed down most stairs.,Sandra realized what George hasn't remembered that some partner had climbed down.,Sandra realized that George hasn't remembered whether some partner had climbed down most stairs.,Every guest investigates that some customers observe Grace after escaping from Elaine.,Every guest investigates who some customers observe after escaping from Elaine.,Every guest investigates that some customers appeared after escaping from Elaine observe Grace.,Every guest investigates who some customers appeared after escaping from Elaine observe.,Harvard University had discovered that that hairdresser who loses Eric has lifted most slopes.,Harvard University had discovered what that hairdresser who loses Eric has lifted.,26
27,Anna hasn't known that a waiter lights all lamps with Melissa.,Anna hasn't known what a waiter lights with Melissa.,Anna hasn't known what a waiter lights all lamps with.,Anna hasn't known what lights all lamps.,Carl is investigating that Peter reveals that some pedestrian isn't breaking some cups.,Carl is investigating what Peter reveals that some pedestrian isn't breaking.,Carl is investigating that Peter reveals whether some pedestrian isn't breaking some cups.,Tamara reveals that some contractor arrived at most banks before appreciating every mall.,Tamara reveals what some contractor arrived at before appreciating every mall.,Tamara reveals that some contractor struck before appreciating every mall arrived at most banks.,Tamara reveals what some contractor struck before appreciating every mall arrived at.,Ann can't reveal that those committees what were fighting Rose fight Julie.,Ann can't reveal who those committees what were fighting Rose fight.,27
28,Larry wasn't realizing that every dentist can kiss Raymond with Ellen.,Larry wasn't realizing who every dentist can kiss with Ellen.,Larry wasn't realizing who every dentist can kiss Raymond with.,Larry wasn't realizing who can kiss Raymond.,Carl was learning that Curtis investigates that the man can love Kirsten.,Carl was learning who Curtis investigates that the man can love.,Carl was learning that Curtis investigates whether the man can love Kirsten.,Andrea doesn't reveal that this public park aids that waiter while hurting Judy.,Andrea doesn't reveal who this public park aids while hurting Judy.,Andrea doesn't reveal that this public park brought while hurting Judy aids that waiter.,Andrea doesn't reveal who this public park brought while hurting Judy aids.,Richard knew that every pedestrian who researches all rivers won't teach Daniel.,Richard knew who every pedestrian who researches all rivers won't teach.,28
29,Cynthia hadn't concealed that the person cleaned a bike with Sabrina.,Cynthia hadn't concealed what the person cleaned with Sabrina.,Cynthia hadn't concealed what the person cleaned a bike with.,Cynthia hadn't concealed what cleaned a bike.,Theodore forgets that Jason has figured out that some waiters struck an actor.,Theodore forgets who Jason has figured out that some waiters struck.,Theodore forgets that Jason has figured out whether some waiters struck an actor.,Many drivers might reveal that that waitress shouldn't argue about that actress after leading a lot of guests.,Many drivers might reveal who that waitress shouldn't argue about after leading a lot of guests.,Many drivers might reveal that that waitress helped after leading a lot of guests shouldn't argue about that actress.,Many drivers might reveal who that waitress helped after leading a lot of guests shouldn't argue about.,Those actresses realized that the men who haven't eaten a lot of peppers haven't talked about Cindy.,Those actresses realized who the men who haven't eaten a lot of peppers haven't talked about.,29
30,Carlos hasn't revealed that some rugs scare Stacy for Michelle.,Carlos hasn't revealed who some rugs scare for Michelle.,Carlos hasn't revealed who some rugs scare Stacy for.,Carlos hasn't revealed who scare Stacy.,Some ladies know that Patrick realizes that every museum cared for Gina.,Some ladies know who Patrick realizes that every museum cared for.,Some ladies know that Patrick realizes whether every museum cared for Gina.,Keith discovers that the child hadn't sounded like Stacy after overwhelming Tara.,Keith discovers who the child hadn't sounded like after overwhelming Tara.,Keith discovers that the child dated after overwhelming Tara hadn't sounded like Stacy.,Keith discovers who the child dated after overwhelming Tara hadn't sounded like.,Stacey will conceal that tutors who shoot Omar wrote the play.,Stacey will conceal what tutors who shoot Omar wrote.,30
31,Jason has figured out that people revealed that skirt with all actresses.,Jason has figured out what people revealed with all actresses.,Jason has figured out what people revealed that skirt with.,Jason has figured out what revealed that skirt.,Stacey hadn't realized that Emily had known that that senator has discovered Dana.,Stacey hadn't realized who Emily had known that that senator has discovered.,Stacey hadn't realized that Emily had known whether that senator has discovered Dana.,These lawyers discover that the doctor observes Adam while appreciating Rodney.,These lawyers discover who the doctor observes while appreciating Rodney.,These lawyers discover that the doctor urged while appreciating Rodney observes Adam.,These lawyers discover who the doctor urged while appreciating Rodney observes.,Raymond couldn't learn that this woman who is praising that actor fights Kirsten.,Raymond couldn't learn who this woman who is praising that actor fights.,31
